index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,1,28,0,9273,6,1,2242,2430,846,1069,0,0,189,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,1,9274,5,0,0,34,846,1069,189,0,35,224
2228,2229,1,1,5,,0,-65.1161,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9282,5,1,639,862,1350,1573,0,0,224,224
2229,2230,1,1,6,,0,-67.0886,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9283,6,1,1943,2166,1414,1637,0,0,224,224
2230,2231,1,1,6,,0,-123.397,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9327,6,1,1494,1717,629,852,0,0,224,224
2231,2232,1,1,5,,0,-157.33,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,0,28,1,9353,6,0,2421,2430,14,237,0,0,10,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9354,5,1,0,213,14,237,10,0,214,224
2232,2233,1,1,6,,0,-171.515,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9365,6,1,49,272,676,899,0,0,224,224
2233,2234,1,1,6,,0,177.659,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9373,6,1,1045,1268,929,1152,0,0,224,224
2234,2235,1,1,5,,0,99.5331,0,0,2,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,1,-1,28,0,9434,5,1,124,347,1520,1711,0,0,224,192
