index, img_id, is_valid, scale, proc_id, file_name, pos, angle_deg, overlap_pixels_prev, overlap_pixels_next, packet_array_count,tag, c_packet, c_track, c_imc,root_bucket, next_bucket, next, bucket_id, pkg_index, packet_id, from_proc_id, is_center,pkg_row_start, pkg_row_end, pkg_col_start, pkg_col_end, img_row_start, img_col_start, img_row_count, img_col_count 
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9477,6,1,1109,1332,735,958,0,0,224,224
2289,2290,1,1,6,,0,43.2339,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9477,6,1,1502,1725,612,835,0,0,224,224
2290,2291,1,1,6,,0,44.0661,0,0,2,1280,1,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,0,28,1,9476,5,0,2370,2430,462,685,0,0,61,224
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1,-1,-1,28,0,9477,6,1,0,162,462,685,61,0,163,224
2291,2292,1,1,5,,0,42.0832,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9478,5,1,1232,1455,601,824,0,0,224,224
2292,2293,1,1,6,,0,40.3352,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9479,6,1,2086,2309,1159,1382,0,0,224,224
2293,2294,1,1,5,,0,39.5698,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9480,5,1,1091,1314,180,403,0,0,224,224
2294,2295,1,1,6,,0,38.5774,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9481,6,1,523,746,1269,1492,0,0,224,224
2295,2296,1,1,6,,0,38.0196,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9481,6,1,1572,1795,782,1005,0,0,224,224
2296,2297,1,1,5,,0,37.032,0,0,1,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-1,-1,28,0,9482,5,1,994,1217,494,717,0,0,224,224
2297,2298,1,1,5,,0,36.503,0,0,3,1792,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2,0,1,27,2,9202,5,0,2379,2430,1648,1711,0,0,52,64
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2,0,-1,27,1,9203,6,0,0,171,1648,1711,52,0,172,64
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-2,-1,-1,28,0,9482,5,1,1990,2213,0,159,0,64,224,160
