this_ptr,parent,next,prev,next_track,prev_track,track_root,count,track_count,track_node_count,status,track_id,evt.index,evt.event_id,evt.proc_id,evt.packet_id,evt.peak_adc,evt.peak_row,evt.peak_col,evt.x_encoder,evt.w_encoder,evt.radius,evt.theta,evt.x_cor,evt.y_cor,evt.x,evt.y,evt.snr,evt.ee,evt.ee_is_fitted,evt.xenc_merge_count,evt.wenc_merge_count,evt.wenc_per_um,evt.box_width,evt.box_height,evt.xenc_outer,evt.xenc_inner,evt.wenc_left,evt.wenc_right,evt.acc_flag,evt.cosmic_ray_flag,evt.saturated_flag,evt.pixel_sindex,evt.pixel_eindex
17,17,-1,-1,-1,-1,17,1,1,1,2,15,17,17,2,2553,4081,1418,1053,22861.375,165479,133630.90625,-3.966275215148926,-90707.3359375,98129.4921875,98129.5,90707.328125,318.6286926269531,0.10495589673519135,0,250.0,63.351173400878906,0.31675586104393005,0,0,22810.625,22870.125,165475,165483,0,0,0,0,1500
18,18,-1,-1,-1,-1,18,1,1,1,2,15,18,18,2,2553,2839,1183,917,22740.375,165335,133727.703125,-3.9628236293792725,-91111.4453125,97886.6875,97886.6953125,91111.4375,222.23907470703125,0.07425037026405334,0,250.0,63.30531692504883,0.3165265917778015,0,0,22727.25,22785.0,165332,165339,0,0,0,0,1500
19,19,-1,-1,-1,-1,19,1,1,1,2,15,19,19,2,2553,2607,949,829,22663.375,165192,133789.296875,-3.9593961238861084,-91488.5390625,97618.765625,97618.7734375,91488.53125,203.0327911376953,0.0665309876203537,0,250.0,63.27617263793945,0.3163808584213257,0,0,22643.25,22701.0,165189,165195,0,0,0,0,1500
20,20,-1,-1,-1,-1,20,1,1,1,2,15,20,20,2,2553,4086,714,760,22602.0,165050,133838.40625,-3.9559926986694336,-91853.953125,97342.546875,97342.5546875,91853.9453125,322.6226806640625,0.08915654569864273,0,250.0,63.25295639038086,0.3162647783756256,0,0,22554.75,22613.375,165046,165053,0,0,0,0,1500
21,21,-1,-1,-1,-1,21,1,1,1,2,15,21,21,2,2553,4071,579,680,22532.0,164968,133894.40625,-3.9540271759033203,-92083.6171875,97202.46875,97202.4765625,92083.609375,318.2696228027344,0.06690936535596848,0,250.0,63.22650146484375,0.316132515668869,0,0,22504.0,22562.625,164964,164972,0,0,0,0,1500
22,22,-1,-1,-1,-1,22,1,1,1,2,15,22,22,2,2553,4066,1918,509,22386.375,165783,134010.90625,-3.9735615253448486,-90245.8359375,99068.7265625,99068.734375,90245.828125,320.1756591796875,0.06767220795154572,0,250.0,63.16472244262695,0.31582361459732056,0,0,22349.625,22408.25,165780,165787,0,0,0,0,1500
23,23,-1,-1,-1,-1,23,1,1,1,2,15,23,23,2,2553,2784,1683,404,22293.5,165640,134085.203125,-3.9701340198516846,-90635.0859375,98813.578125,98813.5859375,90635.078125,217.67477416992188,0.06497538089752197,0,250.0,63.129730224609375,0.3156486451625824,0,0,22272.5,22330.25,165637,165643,0,0,0,0,1500
24,24,-1,-1,-1,-1,24,1,1,1,2,15,24,24,2,2553,4060,1449,328,22227.0,165498,134138.40625,-3.9667305946350098,-91006.9609375,98543.625,98543.6328125,91006.953125,320.4227294921875,0.06798648834228516,0,250.0,63.10469055175781,0.3155234456062317,0,0,22192.0,22252.375,165494,165501,0,0,0,0,1500
25,25,-1,-1,-1,-1,25,1,1,1,2,15,25,25,2,2553,4088,1215,232,22141.0,165355,134207.203125,-3.9633030891418457,-91391.03125,98281.5,98281.5078125,91391.0234375,319.3968505859375,0.06744622439146042,0,250.0,63.072330474853516,0.3153616487979889,0,0,22108.625,22167.25,165351,165358,0,0,0,0,1500
26,26,-1,-1,-1,-1,26,1,1,1,2,15,26,26,2,2553,4030,981,134,22055.25,165212,134275.796875,-3.9598755836486816,-91774.234375,98017.75,98017.7578125,91774.2265625,315.053955078125,0.06755255907773972,0,250.0,63.04011535644531,0.3152005672454834,0,0,22024.625,22083.25,165209,165216,0,0,0,0,1500
27,27,-1,-1,-1,-1,27,1,1,1,2,15,27,27,2,2553,2612,748,24,21958.0,165070,134353.59375,-3.9564719200134277,-92160.6875,97761.421875,97761.4296875,92160.6796875,203.70303344726563,0.06514284014701843,0,250.0,63.003604888916016,0.31501802802085876,0,0,21937.875,21995.625,165067,165073,0,0,0,0,1500
28,28,-1,-1,-1,-1,28,1,1,1,2,15,28,28,2,2553,4045,613,3,21939.625,164989,134368.296875,-3.9545304775238037,-92360.4140625,97592.9921875,97593.0,92360.40625,314.4544677734375,0.6103817820549011,1,250.0,62.9967155456543,0.3149835765361786,0,0,21937.0,21945.75,164985,164992,0,0,0,0,1500
