index,parent,next,tail,count,status,track_id,source_type,dft.defect_id,dft.event_root_index,dft.from_channel,dft.channel_defect_id,dft.related_defect_id,dft.img_id,dft.img_tag,dft.peak_adc,dft.peak_packet_id,dft.peak_row,dft.peak_col,dft.x_encoder,dft.w_encoder,dft.radius,dft.theta,dft.x_cor,dft.y_cor,dft.x,dft.y,dft.snr,dft.defect_area,dft.defect_size,dft.dsize,dft.rppm,dft.nppm,dft.um_size,dft.x_size,dft.y_size,dft.ee,dft.haze_avg,dft.defect_tag,dft.cluster_number,dft.cluster_area,dft.cluster_length,dft.confidence,dft.midlevel_bin_number,dft.rough_bin_number,dft.fine_bin_number,dft.acc_flag,dft.cosmic_ray_flag,dft.saturated_flag,dft.max_xt_fit,dft.xenc_outer,dft.xenc_inner,dft.wenc_left,dft.wenc_right
11,-1,-1,12,1,0,14,-1,12,11,1,-1,-1,12,0,4060,2417,729,1309,21985,197023,134331.703125,-4.7223358154296875,1336.1533203125,134325.0625,134325.0625,-1336.1591796875,258.05169677734375,1072.3570556640625,4060.0,32.746864318847656,4060.0,0.0,0.0,46.609375,23.00732421875,0.06822296977043152,75,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21953,22011,197019,197026
12,-1,-1,13,1,0,14,-1,13,12,1,-1,-1,13,0,2758,2417,964,1238,21924,197165,134380.59375,-4.725739479064941,1793.99462890625,134368.625,134368.65625,-1794.000732421875,175.2971954345703,1100.980224609375,2758.0,33.18102264404297,2758.0,0.0,0.0,47.484375,23.1861572265625,0.07532380521297455,75,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21878,21937,197162,197169
13,-1,-1,14,1,0,14,-1,14,13,1,-1,-1,14,0,4028,2417,1200,1137,21835,197309,134451.296875,-4.729190826416016,2258.923583984375,134432.3125,134432.3125,-2258.929931640625,315.1980895996094,1111.3023681640625,4028.0,33.33620071411133,4028.0,0.0,0.0,47.578125,23.357421875,0.06779803335666656,60,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21800,21859,197305,197312
14,-1,-1,15,1,0,14,-1,15,14,1,-1,-1,15,0,4043,2417,1435,1066,21774,197450,134500.203125,-4.732570648193359,2714.254150390625,134472.8125,134472.8125,-2714.260009765625,316.6103210449219,1121.21337890625,4043.0,33.48452377319336,4043.0,0.0,0.0,47.65625,23.527099609375,0.12318051606416702,60,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21721,21780,197447,197454
15,-1,-1,16,1,0,15,-1,16,15,1,-1,-1,16,1536,2739,2553,680,1422,23181,165029,133375.0,-3.95548939704895,-91584.7265625,96959.421875,96959.4296875,91584.7109375,166.77078247070313,0.0,2739.0,2739.0,2739.0,0.0,0.0,0.0,0.0,0.1772901564836502,75,0,-1,0.0,0.0,0.0,-1,0,-1,0,0,0,0,23172,23188,165026,165033
16,-1,-1,17,1,0,15,-1,17,16,1,-1,-1,17,0,2593,2553,1889,1213,23002,165766,133518.09375,-3.973154067993164,-89954.1796875,98667.765625,98667.7734375,89954.171875,167.11251831054688,2306.807861328125,2593.0,48.029239654541016,2593.0,0.0,0.0,48.7890625,47.28125,0.06512048095464706,70,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22969,23026,165762,165769
17,-1,-1,18,1,0,15,-1,18,17,1,-1,-1,18,0,4081,2553,1418,1053,22861,165479,133630.90625,-3.966275215148926,-90707.3359375,98129.4921875,98129.5,90707.3359375,314.8978576660156,2707.68310546875,4081.0,52.035404205322266,4081.0,0.0,0.0,52.65625,51.421875,0.10495589673519135,61,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22810,22870,165475,165483
18,-1,-1,19,1,0,15,-1,19,18,1,-1,-1,19,0,2839,2553,1183,917,22740,165335,133727.703125,-3.9628236293792725,-91111.4453125,97886.6875,97886.6953125,91111.4375,219.06272888183594,2366.68408203125,2839.0,48.64857864379883,2839.0,0.0,0.0,49.2578125,48.046875,0.07425037026405334,61,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22727,22785,165332,165339
19,-1,-1,20,1,0,15,-1,20,19,1,-1,-1,20,0,2607,2553,949,829,22663,165192,133789.296875,-3.9593961238861084,-91488.5390625,97618.765625,97618.7734375,91488.53125,198.00450134277344,2150.6171875,2607.0,46.37474822998047,2607.0,0.0,0.0,47.0,45.7578125,0.0665309876203537,61,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22643,22701,165189,165195
20,-1,-1,21,1,0,15,-1,21,20,1,-1,-1,21,0,4086,2553,714,760,22602,165050,133838.40625,-3.9559926986694336,-91853.953125,97342.546875,97342.5546875,91853.9375,314.63525390625,2422.99658203125,4086.0,49.223941802978516,4086.0,0.0,0.0,49.734375,48.71875,0.08915654569864273,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22554,22613,165046,165053
21,-1,-1,22,1,0,15,-1,22,21,1,-1,-1,22,0,4071,2553,579,680,22532,164968,133894.40625,-3.9540271759033203,-92083.6171875,97202.46875,97202.4765625,92083.609375,313.4801940917969,2593.67431640625,4071.0,50.92812728881836,4071.0,0.0,0.0,51.328125,50.53125,0.06690936535596848,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22504,22562,164964,164972
22,-1,-1,23,1,0,15,-1,23,22,1,-1,-1,23,0,4066,2553,1918,509,22386,165783,134010.90625,-3.9735615253448486,-90245.8359375,99068.7265625,99068.734375,90245.828125,313.8102722167969,2422.97265625,4066.0,49.22370147705078,4066.0,0.0,0.0,50.046875,48.4140625,0.06767220795154572,63,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22349,22408,165780,165787
23,-1,-1,24,1,0,15,-1,24,23,1,-1,-1,24,0,2784,2553,1683,404,22293,165640,134085.203125,-3.9701340198516846,-90635.0859375,98813.578125,98813.5859375,90635.078125,214.03555297851563,2154.673828125,2784.0,46.41846466064453,2784.0,0.0,0.0,47.25,45.6015625,0.06497538089752197,63,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22272,22330,165637,165643
24,-1,-1,25,1,0,15,-1,25,24,1,-1,-1,25,0,4060,2553,1449,328,22227,165498,134138.40625,-3.9667305946350098,-91006.9609375,98543.625,98543.625,91006.953125,312.13519287109375,2479.212158203125,4060.0,49.79168701171875,4060.0,0.0,0.0,50.515625,49.078125,0.06798648834228516,63,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22192,22252,165494,165501
25,-1,-1,26,1,0,15,-1,26,25,1,-1,-1,26,0,4088,2553,1215,232,22141,165355,134207.203125,-3.9633030891418457,-91391.03125,98281.5,98281.5078125,91391.015625,314.95166015625,2424.392578125,4088.0,49.238121032714844,4088.0,0.0,0.0,49.875,48.609375,0.06744622439146042,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22108,22167,165351,165358
26,-1,-1,27,1,0,15,-1,27,26,1,-1,-1,27,0,4030,2553,981,134,22055,165212,134275.796875,-3.9598755836486816,-91774.234375,98017.75,98017.7578125,91774.2265625,310.483154296875,2429.08642578125,4030.0,49.285762786865234,4030.0,0.0,0.0,49.859375,48.71875,0.06755255907773972,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,22024,22083,165209,165216
27,-1,-1,28,1,0,15,-1,28,27,1,-1,-1,28,1792,2612,2553,748,24,21958,165070,134353.59375,-3.9564719200134277,-92160.6875,97761.421875,97761.4296875,92160.6796875,201.13246154785156,2157.567626953125,2612.0,46.449623107910156,2612.0,0.0,0.0,47.0234375,45.8828125,0.06514284014701843,62,0,-1,0.0,0.0,0.0,-1,231,-1,0,0,0,0,21937,21995,165067,165073
28,-1,-1,29,1,0,15,-1,29,28,1,-1,-1,29,1792,4045,2553,613,3,21939,164989,134368.296875,-3.9545304775238037,-92360.4140625,97592.9921875,97593.0,92360.40625,311.4781188964844,0.0,4045.0,4045.0,4045.0,0.0,0.0,0.0,0.0,0.6103817820549011,62,1,-1,0.0,0.0,0.0,-1,0,-1,0,0,0,0,21937,21945,164985,164992
