this_ptr,parent,next,prev,next_track,prev_track,track_root,count,track_count,track_node_count,status,track_id,evt.index,evt.event_id,evt.proc_id,evt.packet_id,evt.peak_adc,evt.peak_row,evt.peak_col,evt.x_encoder,evt.w_encoder,evt.radius,evt.theta,evt.x_cor,evt.y_cor,evt.x,evt.y,evt.snr,evt.ee,evt.ee_is_fitted,evt.xenc_merge_count,evt.wenc_merge_count,evt.wenc_per_um,evt.box_width,evt.box_height,evt.xenc_outer,evt.xenc_inner,evt.wenc_left,evt.wenc_right,evt.acc_flag,evt.cosmic_ray_flag,evt.saturated_flag,evt.pixel_sindex,evt.pixel_eindex
14,11,-1,11,-1,-1,11,1,1,1,2,26,14,14,1,3910,4065,1400,267,36323.625,249544,122861.1015625,-5.981183052062988,117300.7578125,36542.87890625,36542.875,-117300.7578125,343.61822509765625,0.06865336745977402,0,250.0,68.99424743652344,0.344971239566803,0,0,36290.375,36349.875,249540,249548,0,0,0,0,1500
15,13,-1,13,-1,-1,13,1,1,1,2,26,15,15,1,3910,2765,1195,77,36157.375,249396,122994.1015625,-5.977635383605957,117297.21875,36998.80078125,36998.796875,-117297.21875,234.36428833007813,0.05907709524035454,0,250.0,68.91080474853516,0.34455403685569763,0,0,36122.375,36180.125,249393,249401,0,0,0,0,1500
16,16,112,-1,112,-1,16,2,2,1,2,27,16,16,1,3918,4021,2583,1414,37408.25,4293,121993.3984375,-0.1028965562582016,121348.1484375,-12530.5615234375,-12530.56640625,-121348.1484375,339.6699523925781,0.07844093441963196,0,250.0,69.4849853515625,0.3474249243736267,0,0,37375.875,37422.25,4288,4297,0,0,0,0,1500
17,17,-1,-1,-1,-1,17,1,1,1,2,27,17,0,2,3919,2779,1468,1378,37381.75,5496,122014.6015625,-0.1317306011915207,120957.4765625,-16026.6123046875,-16026.6171875,-120957.4765625,235.71231079101563,0.06954454630613327,0,250.0,69.47290802001953,0.34736454486846924,0,0,37338.0,37395.75,5493,5501,0,0,0,0,1500
18,18,-1,-1,-1,-1,18,1,1,1,2,27,18,1,2,3919,2791,31,1322,37327.75,4462,122057.796875,-0.10694722086191177,121360.4296875,-13028.8720703125,-13028.876953125,-121360.4296875,235.8726348876953,0.066590316593647,0,250.0,69.44831848144531,0.3472415804862976,0,0,37310.25,37368.0,4458,4466,0,0,0,0,1500
19,19,-1,-1,-1,-1,19,1,1,1,2,27,19,2,2,3919,4049,1704,1250,37270.75,5665,122103.3984375,-0.13578127324581146,120979.5390625,-16528.45703125,-16528.462890625,-120979.5390625,342.49639892578125,0.06678983569145203,0,250.0,69.42237854003906,0.34711191058158875,0,0,37254.125,37313.625,5661,5669,0,0,0,0,1500
20,20,-1,-1,-1,-1,20,1,1,1,2,27,20,3,2,3919,2795,267,1270,37283.25,4632,122093.3984375,-0.11102186143398285,121341.71875,-13527.20703125,-13527.2119140625,-121341.71875,236.10791015625,0.06789995729923248,0,250.0,69.42807006835938,0.3471403419971466,0,0,37242.125,37300.75,4628,4636,0,0,0,0,1500
21,21,-1,-1,-1,-1,21,1,1,1,2,27,21,4,2,3919,4059,1939,1161,37193.875,5834,122164.8984375,-0.13983193039894104,120972.5,-17026.939453125,-17026.9453125,-120972.5,343.9651184082031,0.06723371148109436,0,250.0,69.38743591308594,0.3469371795654297,0,0,37168.5,37228.0,5830,5839,0,0,0,0,1500
22,22,-1,-1,-1,-1,22,1,1,1,2,27,22,5,2,3919,2772,503,1174,37200.25,4801,122159.796875,-0.11507252603769302,121351.8828125,-14026.2333984375,-14026.23828125,-121351.8828125,235.3874053955078,0.06511321663856506,0,250.0,69.39032745361328,0.3469516336917877,0,0,37172.25,37230.0,4798,4806,0,0,0,0,1500
23,23,-1,-1,-1,-1,23,1,1,1,2,27,23,6,2,3919,2225,2173,1051,37097.625,6003,122241.8984375,-0.1438826024532318,120978.7421875,-17527.857421875,-17527.86328125,-120978.7421875,188.100341796875,0.06471645087003708,0,250.0,69.34371948242188,0.34671860933303833,0,0,37080.125,37138.75,5999,6007,0,0,0,0,1500
24,24,-1,-1,-1,-1,24,1,1,1,2,27,24,7,2,3919,4045,739,1090,37127.75,4971,122217.796875,-0.1191471666097641,121351.3203125,-14527.474609375,-14527.4794921875,-121351.3203125,343.5222473144531,0.06708265095949173,0,250.0,69.3573989868164,0.3467870056629181,0,0,37097.875,37158.375,4967,4976,0,0,0,0,1500
25,25,-1,-1,-1,-1,25,1,1,1,2,27,25,8,2,3919,2789,974,1001,37050.875,5141,122279.296875,-0.12322179973125458,121352.1484375,-15029.3740234375,-15029.37890625,-121352.1484375,235.98497009277344,0.05859028175473213,0,250.0,69.32251739501953,0.3466125726699829,0,0,37024.625,37082.375,5137,5145,0,0,0,0,1500
26,26,-1,-1,-1,-1,26,1,1,1,2,27,26,9,2,3919,2561,2409,946,37007.75,6173,122313.796875,-0.1479572355747223,120977.4296875,-18031.25390625,-18031.259765625,-120977.4296875,215.606689453125,0.06577417999505997,0,250.0,69.30296325683594,0.34651482105255127,0,0,36991.125,37048.875,6168,6176,0,0,0,0,1500
27,27,-1,-1,-1,-1,27,1,1,1,2,27,27,10,2,3919,2603,1210,907,36969.625,5310,122344.296875,-0.12727247178554535,121354.75,-15529.0576171875,-15529.0625,-121354.75,219.2384490966797,0.06564529240131378,0,250.0,69.28568267822266,0.34642842411994934,0,0,36946.875,37004.625,5306,5314,0,0,0,0,1500
28,28,-1,-1,-1,-1,28,1,1,1,2,27,28,11,2,3919,4043,2643,853,36927.375,6341,122378.1015625,-0.15198394656181335,120967.40625,-18527.984375,-18527.990234375,-120967.40625,340.4825134277344,0.0668267235159874,0,250.0,69.26654815673828,0.34633272886276245,0,0,36897.625,36956.25,6337,6346,0,0,0,0,1500
29,29,-1,-1,-1,-1,29,1,1,1,2,27,29,12,2,3919,2568,1445,825,36897.875,5480,122401.703125,-0.13134710490703583,121347.375,-16030.921875,-16030.9267578125,-121347.375,216.31353759765625,0.0650390014052391,0,250.0,69.2531967163086,0.346265971660614,0,0,36865.5,36923.25,5475,5483,0,0,0,0,1500
30,30,-1,-1,-1,-1,30,1,1,1,2,27,30,13,2,3919,2770,1679,734,36819.25,5648,122464.6015625,-0.1353738009929657,121344.1640625,-16527.908203125,-16527.9140625,-121344.1640625,232.98681640625,0.06535562127828598,0,250.0,69.2176284790039,0.34608814120292664,0,0,36782.5,36841.125,5644,5652,0,0,0,0,1500
31,31,-1,-1,-1,-1,31,1,1,1,2,27,31,14,2,3919,4048,1914,629,36728.375,5816,122537.296875,-0.13940049707889557,121348.6171875,-17026.490234375,-17026.49609375,-121348.6171875,343.5263671875,0.0673566535115242,0,250.0,69.17655944824219,0.3458828032016754,0,0,36696.875,36756.375,5812,5821,0,0,0,0,1500
32,32,-1,-1,-1,-1,32,1,1,1,2,27,32,15,2,3919,4051,2148,528,36640.0,5985,122608.0,-0.14345116913318634,121348.6328125,-17528.0,-17528.005859375,-121348.6328125,343.0506591796875,0.06730744987726212,0,250.0,69.13666534423828,0.34568333625793457,0,0,36608.5,36667.125,5981,5989,0,0,0,0,1500
33,33,-1,-1,-1,-1,33,1,1,1,2,27,33,16,2,3919,4044,2382,403,36532.625,6153,122693.8984375,-0.1474778652191162,121362.0390625,-18029.11328125,-18029.119140625,-121362.0390625,342.6437072753906,0.07407645136117935,0,250.0,69.08827209472656,0.3454413414001465,0,0,36519.5,36578.125,6149,6158,0,0,0,0,1500
34,34,-1,-1,-1,-1,34,1,1,1,2,27,34,17,1,3920,4020,126,1419,37422.625,6536,121981.8984375,-0.15665778517723083,120488.1328125,-19031.34765625,-19031.353515625,-120488.1328125,341.060302734375,0.2136366069316864,0,250.0,69.49152374267578,0.347457617521286,0,0,37416.5,37432.25,6532,6541,0,0,0,0,1500
35,35,-1,-1,-1,-1,35,1,1,1,2,27,35,18,1,3920,2222,360,1336,37351.0,6705,122039.203125,-0.1607084572315216,120466.6328125,-19528.41796875,-19528.423828125,-120466.6328125,188.031982421875,0.06361977010965347,0,250.0,69.45890808105469,0.34729453921318054,0,0,37318.625,37377.25,6701,6709,0,0,0,0,1500
36,36,-1,-1,-1,-1,36,1,1,1,2,27,36,19,1,3920,4046,595,1209,37240.875,6874,122127.296875,-0.16475912928581238,120473.4375,-20030.67578125,-20030.681640625,-120473.4375,341.11407470703125,0.06679654121398926,0,250.0,69.40879821777344,0.3470439910888672,0,0,37217.25,37276.75,6870,6878,0,0,0,0,1500
